part;time [s];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s];center.x [m];center.y [m];center.z [m];surge [m];heave [m];pitch [deg]
0;  0.000000000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  2.850000000000E+00;  0.000000000000E+00;  7.500000000000E-01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00
1;  1.001937012589E-02;  4.5171170E-03;  0.0000000E+00;  1.9150512E-02;  0.0000000E+00;  8.4367703E-04;  0.0000000E+00;  2.850005236892E+00;  0.000000000000E+00;  7.501238567614E-01;  5.2452087E-06;  1.2385845E-04;  0.0000000E+00
2;  2.004452877493E-02;  1.8988760E-03;  0.0000000E+00;  2.9609919E-02;  0.0000000E+00;  3.5439497E-03;  0.0000000E+00;  2.850021349950E+00;  0.000000000000E+00;  7.503317751714E-01;  2.1427869E-05;  3.3184886E-04; -2.3905662E-04
3;  3.006474925859E-02;  1.4606045E-03;  0.0000000E+00;  7.5619027E-02;  0.0000000E+00;  4.4915095E-04;  0.0000000E+00;  2.850018345107E+00;  0.000000000000E+00;  7.508771282087E-01;  1.8388027E-05;  8.7717175E-04; -8.5377322E-04
4;  4.007986291400E-02;  1.4173561E-03;  0.0000000E+00;  1.0341251E-01;  0.0000000E+00;  5.4921745E-04;  0.0000000E+00;  2.850023163367E+00;  0.000000000000E+00;  7.517785116907E-01;  2.3171296E-05;  1.7785579E-03; -1.1440564E-03
5;  5.008934494453E-02;  4.6577561E-03;  0.0000000E+00;  1.3677846E-01;  0.0000000E+00;  1.3620905E-03;  0.0000000E+00;  2.850048010994E+00;  0.000000000000E+00;  7.530514610843E-01;  4.8071134E-05;  3.0514896E-03; -1.2635844E-03
6;  6.000388004310E-02;  7.9359096E-03;  0.0000000E+00;  1.4444803E-01;  0.0000000E+00; -5.4929126E-04;  0.0000000E+00;  2.850079440959E+00;  0.000000000000E+00;  7.545211855871E-01;  7.9423174E-05;  4.5212209E-03; -1.4001885E-03
7;  7.000573168955E-02;  2.1903223E-04;  0.0000000E+00;  1.5677308E-01;  0.0000000E+00;  1.6119819E-03;  0.0000000E+00;  2.850093016137E+00;  0.000000000000E+00;  7.560161469019E-01;  9.2983217E-05;  6.0161352E-03; -1.9124514E-03
8;  8.000359326494E-02;  1.2628577E-03;  0.0000000E+00;  1.4777672E-01;  0.0000000E+00;  1.1488444E-03;  0.0000000E+00;  2.850115373604E+00;  0.000000000000E+00;  7.575631207449E-01;  1.1533495E-04;  7.5631737E-03; -2.3905671E-03
9;  9.008486428292E-02;  2.0379964E-03;  0.0000000E+00;  1.6349202E-01;  0.0000000E+00;  1.5524972E-03;  0.0000000E+00;  2.850157071023E+00;  0.000000000000E+00;  7.591584907543E-01;  1.5699857E-04;  9.1584920E-03; -2.8686770E-03
10;  1.000676638042E-01;  7.8573832E-03;  0.0000000E+00;  2.0103231E-01;  0.0000000E+00;  3.5561484E-04;  0.0000000E+00;  2.850198118218E+00;  0.000000000000E+00;  7.610281249276E-01;  1.9815554E-04;  1.1028141E-02; -3.5858485E-03
11;  1.100450857647E-01;  1.9589723E-03;  0.0000000E+00;  2.2326413E-01;  0.0000000E+00;  1.6200577E-03;  0.0000000E+00;  2.850237889248E+00;  0.000000000000E+00;  7.631255843743E-01;  2.3789690E-04;  1.3125643E-02; -4.3200975E-03
12;  1.200192605106E-01;  1.3425051E-03;  0.0000000E+00;  2.4021341E-01;  0.0000000E+00;  4.5467599E-04;  0.0000000E+00;  2.850273941191E+00;  0.000000000000E+00;  7.654864160498E-01;  2.7388317E-04;  1.5486479E-02; -4.8494361E-03
13;  1.300819259592E-01;  8.0668321E-03;  0.0000000E+00;  2.3458754E-01;  0.0000000E+00; -2.9089241E-03;  0.0000000E+00;  2.850344011553E+00;  0.000000000000E+00;  7.679176882877E-01;  3.4409750E-04;  1.7917752E-02; -3.8932092E-03
14;  1.400354178124E-01;  5.7339040E-03;  0.0000000E+00;  2.4523248E-01;  0.0000000E+00; -4.4394573E-03;  0.0000000E+00;  2.850396348398E+00;  0.000000000000E+00;  7.703247138845E-01;  3.9631125E-04;  2.0324767E-02; -1.9807556E-03
15;  1.500782935425E-01;  7.3596877E-03;  0.0000000E+00;  2.4078085E-01;  0.0000000E+00; -7.0796330E-03;  0.0000000E+00;  2.850461438443E+00;  0.000000000000E+00;  7.727557775290E-01;  4.6153365E-04;  2.2755846E-02;  1.4172653E-03
16;  1.600417866089E-01;  3.6653378E-03;  0.0000000E+00;  2.5890583E-01;  0.0000000E+00; -9.6557084E-03;  0.0000000E+00;  2.850527523860E+00;  0.000000000000E+00;  7.752219205191E-01;  5.2757533E-04;  2.5221988E-02;  6.0617969E-03
17;  1.700890667284E-01;  9.8964246E-03;  0.0000000E+00;  2.8185943E-01;  0.0000000E+00; -1.4245416E-02;  0.0000000E+00;  2.850606098202E+00;  0.000000000000E+00;  7.779777407287E-01;  6.0607357E-04;  2.7977748E-02;  1.3370088E-02
