part;time [s];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s];center.x [m];center.y [m];center.z [m];surge [m];heave [m];pitch [deg]
0;  0.000000000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.100000000000E+00;  0.000000000000E+00;  4.500000000000E-01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00
1;  1.001937012589E-02; -2.4986328E-03;  0.0000000E+00;  2.2065809E-02;  0.0000000E+00; -3.3413139E-04;  0.0000000E+00;  1.099999730642E+00;  0.000000000000E+00;  4.499857040973E-01; -2.2054134E-07; -1.4281275E-05;  5.2592457E-04
2;  2.004452877493E-02;  4.8409938E-04;  0.0000000E+00;  3.6835164E-02;  0.0000000E+00;  4.0275443E-02;  0.0000000E+00;  1.099943084248E+00;  0.000000000000E+00;  4.501997909730E-01; -5.6904555E-05;  1.9981861E-04;  2.5271700E-04
3;  3.006474925859E-02;  1.7780991E-04;  0.0000000E+00;  5.7111654E-02;  0.0000000E+00;  1.3451642E-02;  0.0000000E+00;  1.099967014469E+00;  0.000000000000E+00;  4.505424860413E-01; -3.2985233E-05;  5.4247974E-04; -1.2021130E-03
4;  4.007986291400E-02; -1.9333962E-03;  0.0000000E+00;  9.3043417E-02;  0.0000000E+00;  2.3784416E-02;  0.0000000E+00;  1.099990978801E+00;  0.000000000000E+00;  4.512310752091E-01; -9.0135898E-06;  1.2310975E-03; -9.4803053E-03
5;  5.008934494453E-02; -1.6463783E-03;  0.0000000E+00;  9.1381736E-02;  0.0000000E+00; -5.1637678E-03;  0.0000000E+00;  1.099953063869E+00;  0.000000000000E+00;  4.521517289637E-01; -4.6941514E-05;  2.1517560E-03; -1.3694531E-02
6;  6.000388004310E-02; -3.2636784E-03;  0.0000000E+00;  1.2278065E-01;  0.0000000E+00;  1.3476693E-02;  0.0000000E+00;  1.099957575280E+00;  0.000000000000E+00;  4.532025929100E-01; -4.2426372E-05;  3.2026083E-03; -1.9418227E-02
7;  7.000573168955E-02;  6.9612819E-03;  0.0000000E+00;  1.1398920E-01;  0.0000000E+00;  2.7426803E-02;  0.0000000E+00;  1.099972916664E+00;  0.000000000000E+00;  4.543559136549E-01; -2.7061074E-05;  4.3559072E-03; -2.8632157E-02
8;  8.000359326494E-02;  2.0594292E-03;  0.0000000E+00;  1.2081812E-01;  0.0000000E+00;  1.6919173E-02;  0.0000000E+00;  1.100016805978E+00;  0.000000000000E+00;  4.554826672371E-01;  1.6818389E-05;  5.4826786E-03; -4.1227034E-02
9;  9.008486428292E-02; -5.2318990E-04;  0.0000000E+00;  1.3100581E-01;  0.0000000E+00;  2.5028998E-02;  0.0000000E+00;  1.100033956806E+00;  0.000000000000E+00;  4.568201378245E-01;  3.3924442E-05;  6.8201321E-03; -5.3883350E-02
10;  1.000676638042E-01;  5.5329516E-03;  0.0000000E+00;  1.5378088E-01;  0.0000000E+00;  3.5211232E-02;  0.0000000E+00;  1.100038094158E+00;  0.000000000000E+00;  4.581725673232E-01;  3.8071734E-05;  8.1725639E-03; -6.4463317E-02
11;  1.100450857647E-01;  5.6418194E-03;  0.0000000E+00;  1.8106268E-01;  0.0000000E+00;  2.5499295E-02;  0.0000000E+00;  1.100112653680E+00;  0.000000000000E+00;  4.598504525593E-01;  1.1263299E-04;  9.8504623E-03; -8.2331147E-02
12;  1.200192605106E-01;  9.4061811E-03;  0.0000000E+00;  1.7964830E-01;  0.0000000E+00;  3.1491131E-02;  0.0000000E+00;  1.100179362113E+00;  0.000000000000E+00;  4.616032119172E-01;  1.7934893E-04;  1.1603206E-02; -1.0133272E-01
13;  1.300819259592E-01;  3.3433475E-03;  0.0000000E+00;  1.9468042E-01;  0.0000000E+00;  4.1809455E-02;  0.0000000E+00;  1.100238895645E+00;  0.000000000000E+00;  4.635371560874E-01;  2.3893144E-04;  1.3537186E-02; -1.2187801E-01
14;  1.400354178124E-01;  7.6534054E-03;  0.0000000E+00;  1.8277819E-01;  0.0000000E+00;  4.7226053E-02;  0.0000000E+00;  1.100312889603E+00;  0.000000000000E+00;  4.653870170775E-01;  3.1285000E-04;  1.5387006E-02; -1.4192460E-01
15;  1.500782935425E-01;  1.4617241E-02;  0.0000000E+00;  1.9932316E-01;  0.0000000E+00;  4.2212520E-02;  0.0000000E+00;  1.100401644183E+00;  0.000000000000E+00;  4.672535587767E-01;  4.0166979E-04;  1.7253575E-02; -1.6432098E-01
16;  1.600417866089E-01;  7.7804853E-03;  0.0000000E+00;  1.9569160E-01;  0.0000000E+00;  3.8459189E-02;  0.0000000E+00;  1.100516541209E+00;  0.000000000000E+00;  4.692475184626E-01;  5.1652221E-04;  1.9247526E-02; -1.9173737E-01
17;  1.700890667284E-01;  9.7558955E-03;  0.0000000E+00;  2.2547150E-01;  0.0000000E+00;  5.1535316E-02;  0.0000000E+00;  1.100614029581E+00;  0.000000000000E+00;  4.713396592432E-01;  6.1400776E-04;  2.1339650E-02; -2.1633310E-01
18;  1.800325996306E-01;  1.1959858E-02;  0.0000000E+00;  2.3633157E-01;  0.0000000E+00;  5.1241975E-02;  0.0000000E+00;  1.100726038546E+00;  0.000000000000E+00;  4.736678691987E-01;  7.2607926E-04;  2.3667889E-02; -2.4237686E-01
19;  1.900569590422E-01;  1.6219165E-02;  0.0000000E+00;  2.4339071E-01;  0.0000000E+00;  4.8053470E-02;  0.0000000E+00;  1.100867817365E+00;  0.000000000000E+00;  4.760237452176E-01;  8.6783964E-04;  2.6023758E-02; -2.7245055E-01
20;  2.000677169646E-01;  1.7844679E-02;  0.0000000E+00;  2.4478029E-01;  0.0000000E+00;  6.1202999E-02;  0.0000000E+00;  1.101019623223E+00;  0.000000000000E+00;  4.785181266791E-01;  1.0195806E-03;  2.8518103E-02; -3.0693640E-01
21;  2.100582298702E-01;  1.2141451E-02;  0.0000000E+00;  2.3867045E-01;  0.0000000E+00;  6.7096189E-02;  0.0000000E+00;  1.101197374838E+00;  0.000000000000E+00;  4.809237358088E-01;  1.1973341E-03;  3.0923722E-02; -3.4301407E-01
22;  2.200467550200E-01;  1.8843127E-02;  0.0000000E+00;  2.5560859E-01;  0.0000000E+00;  7.9376273E-02;  0.0000000E+00;  1.101365410214E+00;  0.000000000000E+00;  4.833658367225E-01;  1.3653780E-03;  3.3365838E-02; -3.8184454E-01
23;  2.300355874757E-01;  2.2218406E-02;  0.0000000E+00;  2.5395834E-01;  0.0000000E+00;  8.0905184E-02;  0.0000000E+00;  1.101547363502E+00;  0.000000000000E+00;  4.858991277564E-01;  1.5473347E-03;  3.5899132E-02; -4.2900811E-01
24;  2.400167735539E-01;  1.9749597E-02;  0.0000000E+00;  2.8563052E-01;  0.0000000E+00;  9.3875766E-02;  0.0000000E+00;  1.101762965612E+00;  0.000000000000E+00;  4.886029127596E-01;  1.7629639E-03;  3.8602937E-02; -4.8284554E-01
25;  2.500735105041E-01;  2.1223685E-02;  0.0000000E+00;  2.9238692E-01;  0.0000000E+00;  1.0785879E-01;  0.0000000E+00;  1.101981692625E+00;  0.000000000000E+00;  4.915325486277E-01;  1.9816779E-03;  4.1532548E-02; -5.3871853E-01
26;  2.600576662849E-01;  2.1207675E-02;  0.0000000E+00;  3.0709863E-01;  0.0000000E+00;  1.0805170E-01;  0.0000000E+00;  1.102207355295E+00;  0.000000000000E+00;  4.944904163668E-01;  2.2073140E-03;  4.4490400E-02; -5.9778192E-01
27;  2.700422422120E-01;  3.1660121E-02;  0.0000000E+00;  3.0290765E-01;  0.0000000E+00;  1.2392137E-01;  0.0000000E+00;  1.102435508251E+00;  0.000000000000E+00;  4.975590270500E-01;  2.4355140E-03;  4.7559027E-02; -6.6515236E-01
28;  2.800273454767E-01;  2.9381528E-02;  0.0000000E+00;  3.0685094E-01;  0.0000000E+00;  1.4191896E-01;  0.0000000E+00;  1.102751335104E+00;  0.000000000000E+00;  5.006021863291E-01;  2.7512749E-03;  5.0602190E-02; -7.4299489E-01
29;  2.900520043399E-01;  2.5425671E-02;  0.0000000E+00;  3.2883409E-01;  0.0000000E+00;  1.5877044E-01;  0.0000000E+00;  1.103040273772E+00;  0.000000000000E+00;  5.038014170166E-01;  3.0402756E-03;  5.3801428E-02; -8.2717833E-01
30;  3.000861220891E-01;  3.1486325E-02;  0.0000000E+00;  3.3650282E-01;  0.0000000E+00;  1.7409152E-01;  0.0000000E+00;  1.103336957897E+00;  0.000000000000E+00;  5.070942471168E-01;  3.3369092E-03;  5.7094233E-02; -9.2206739E-01
31;  3.100475476015E-01;  3.2739431E-02;  0.0000000E+00;  3.6549991E-01;  0.0000000E+00;  1.8776636E-01;  0.0000000E+00;  1.103625104213E+00;  0.000000000000E+00;  5.106157059231E-01;  3.6251299E-03;  6.0615721E-02; -1.0296725E+00
32;  3.200884556599E-01;  3.5121292E-02;  0.0000000E+00;  3.7308761E-01;  0.0000000E+00;  1.9441317E-01;  0.0000000E+00;  1.103978805753E+00;  0.000000000000E+00;  5.143326790245E-01;  3.9788042E-03;  6.4332672E-02; -1.1394189E+00
33;  3.300134068638E-01;  2.9899877E-02;  0.0000000E+00;  3.8915539E-01;  0.0000000E+00;  1.4612076E-01;  0.0000000E+00;  1.104316275454E+00;  0.000000000000E+00;  5.181309916333E-01;  4.3162481E-03;  6.8130990E-02; -1.2375894E+00
